Numbers
38 2 11 48 12 26
27 47 38 10 2 49
37 17 5 12 18 26
35 40 28 38 9 3
24 17 3 4 20 49
6 35 29 13 16 42
33 27 38 35 32 48
25 21 9 4 12 40
46 16 21 33 18 11
46 23 9 2 44 7
7 44 42 48 3 33
41 44 2 43 25 32
37 25 45 18 34 28
34 47 14 13 12 41
37 35 16 34 42 27
47 25 34 44 7 8
11 46 16 7 24 15
2 41 19 38 5 20
9 22 17 34 35 20
44 19 40 25 7 48
10 36 33 6 37 31
4 17 1 30 9 36
34 8 36 29 13 11
19 49 44 46 15 48
17 45 8 18 44 39
39 38 48 41 24 21
48 32 12 43 19 13
6 18 34 43 21 11
25 13 6 33 14 36
46 14 15 33 38 47
5 13 33 48 20 2
39 4 26 37 19 12
23 42 11 46 33 34
36 45 41 14 29 18
14 5 42 37 24 23
24 42 21 7 14 49
14 16 23 27 49 28
36 30 15 41 11 14
18 40 44 11 9 13
30 25 24 47 37 2
7 30 17 20 21 26
17 31 36 45 46 32
10 23 24 47 12 33
39 10 11 20 27 46
7 8 24 29 4 11
30 47 41 31 20 8
16 18 4 45 1 9
10 21 8 28 31 43
44 40 13 49 5 30
26 47 36 35 27 16
27 32 45 37 28 12
39 30 24 17 28 41
46 29 36 31 26 35
27 38 35 26 12 33
41 31 38 3 46 44
12 39 20 32 27 7
20 29 35 16 37 44
7 30 21 14 43 48
39 30 13 10 34 9
44 27 24 25 39 36
26 34 7 22 49 17
34 48 42 47 25 27
39 19 2 21 20 10
29 24 15 26 21 32
10 11 47 4 43 34
21 28 9 4 30 17
35 18 48 5 45 12
37 40 13 33 38 14
14 29 24 13 47 8
9 43 18 6 19 44
26 47 22 40 41 49
15 42 35 30 2 3
33 12 43 22 4 19
5 16 15 34 48 25
44 31 6 2 35 23
46 6 11 26 21 27
26 23 16 17 27 32
43 6 29 9 46 48
46 47 5 3 48 12
10 25 13 8 34 39
9 11 49 18 12 46
48 21 4 11 16 33
9 7 24 11 46 42
38 31 43 18 16 5
31 47 30 45 14 40
21 12 9 29 34 2
11 48 23 2 41 12
48 40 31 6 23 49
15 30 9 38 16 43
5 32 49 9 2 14
21 24 41 36 26 5
47 27 37 38 18 2
35 40 14 8 43 9
40 33 48 49 46 19
17 12 32 18 43 35
48 25 29 42 5 38
2 31 43 20 12 39
29 48 49 7 20 10
34 44 14 47 11 19
48 20 39 22 47 45
9 10 37 20 41 18
45 40 12 31 4 35
15 45 17 24 6 10
39 38 4 48 43 9
19 3 38 44 10 29
5 8 9 25 22 30
41 20 32 33 15 26
43 11 5 42 6 4
28 30 17 19 2 49
23 2 18 47 41 46
35 9 26 14 48 43
28 27 17 36 26 1
4 2 19 49 40 27
47 17 18 19 32 4
2 29 30 28 45 33
22 47 38 48 7 19
17 4 34 5 46 43
21 47 18 10 31 34
19 34 39 18 3 10
49 26 5 45 28 44
17 44 38 13 18 19
30 44 45 47 6 29
38 34 37 22 1 9
18 33 15 36 30 29
7 35 17 26 2 20
2 35 11 23 8 18
14 31 25 19 24 30
32 29 22 18 41 3
17 5 44 6 21 24
19 40 23 36 1 4
34 3 44 13 1 30
28 8 3 42 27 11
43 25 13 10 24 44
31 27 16 48 29 38
1 14 40 45 35 10
14 25 23 36 45 40
25 17 41 48 44 36
27 9 18 8 43 42
28 43 25 32 19 26
39 23 16 36 2 13
15 21 36 47 44 18
2 45 21 30 49 40
27 10 21 12 2 31
17 18 36 43 5 48
1 6 34 47 7 36
47 49 4 36 17 48
48 33 14 28 45 41
10 9 44 13 48 3
49 44 3 2 28 23
31 29 12 44 33 40
6 31 26 36 11 35
41 7 6 8 39 28
2 19 36 26 27 3
31 40 39 21 8 4
18 16 9 8 15 49
23 6 28 40 13 45
35 40 29 1 48 32
21 42 29 7 22 14
1 23 42 26 37 6
16 21 39 26 13 44
38 42 9 29 49 48
41 5 9 2 4 42
2 40 21 41 48 15
42 32 37 23 47 30
28 26 4 31 25 17
40 17 20 19 26 29
42 21 1 26 38 31
48 26 29 24 27 35
45 41 19 48 28 36
22 20 2 35 23 3
21 32 20 36 49 13
38 22 32 41 37 1
5 11 10 48 19 20
11 10 36 31 44 39
37 22 14 17 16 27
49 3 19 32 4 22
48 35 24 19 46 11
46 12 10 7 23 17
28 1 32 12 7 11
47 46 10 14 25 45
22 7 23 21 18 40
3 16 37 2 43 10
17 49 19 20 44 38
16 45 32 36 47 31
41 21 10 36 1 32
18 20 33 4 43 15
13 35 26 4 24 27
24 43 10 11 2 13
37 46 7 24 27 36
23 19 6 8 36 9
20 39 32 16 7 23
2 21 24 15 39 12
26 33 3 44 15 42
20 39 48 32 15 3
36 35 8 48 25 17
38 22 33 46 45 11
42 27 1 45 10 30
29 7 28 38 46 23
12 43 44 30 47 25
25 22 23 41 30 16
29 43 40 24 5 8
32 33 24 27 48 25
29 38 11 14 6 19
2 19 11 38 13 40
2 5 9 14 8 23
43 37 4 48 20 23
21 27 2 47 28 22
28 33 48 19 17 14
37 28 32 30 5 21
31 24 36 16 9 37
41 18 42 13 12 1
15 31 8 4 44 21
37 18 38 21 46 1
31 23 7 32 34 48
46 39 3 48 13 4
6 18 3 21 32 11
14 13 4 3 48 39
27 43 48 38 34 3
45 24 14 25 49 34
28 5 48 44 47 43
48 30 47 44 33 29
44 28 33 12 5 23
26 13 22 42 25 21
11 26 18 23 2 9
4 6 24 19 9 15
26 49 3 48 36 11
45 44 28 20 7 33
11 44 25 20 46 5
25 46 4 42 43 3
33 47 14 13 6 48
23 39 8 34 45 12
49 22 19 14 26 23
47 44 32 17 18 39
30 25 9 22 29 24
48 39 26 21 1 22
2 33 6 37 22 39
32 40 27 3 21 18
30 4 19 32 31 41
32 43 26 29 5 2
38 10 34 13 7 21
26 9 34 31 21 40
33 39 24 29 4 44
44 37 20 13 7 36
26 46 15 25 28 29
27 12 11 10 3 24
28 12 15 44 39 7
27 10 3 12 36 35
34 4 23 33 41 40
21 22 38 47 28 7
6 11 4 41 31 38
6 18 8 25 21 3
6 23 35 32 20 33
37 42 8 46 31 25
10 32 11 13 17 42
23 20 36 40 45 13
9 40 34 35 17 48
35 28 26 9 8 39
2 40 47 15 36 45
22 48 25 47 1 46
23 8 35 20 12 47
45 12 18 35 39 36
37 30 44 10 7 43
5 29 14 12 13 40
4 7 1 6 26 45
15 8 26 18 9 39
29 18 32 5 43 8
30 23 47 9 42 22
16 41 24 45 30 31
31 35 29 28 22 46
17 20 10 33 7 12
38 29 36 43 17 30
37 35 43 2 28 34
23 22 11 30 10 43
48 24 32 47 7 5
22 23 42 44 27 19
34 24 8 5 35 39
31 30 44 5 7 32
20 37 47 46 29 38
21 34 43 22 12 47
2 16 35 3 32 45
38 47 11 26 41 28
10 47 2 9 30 13
24 43 2 22 39 23
10 44 3 7 4 27
10 14 36 31 35 43
14 40 23 11 19 22
41 27 15 26 8 20
23 40 34 32 35 45
18 23 25 3 8 10
46 29 47 48 35 40
48 32 47 12 17 11
33 39 48 43 36 6
16 3 28 37 20 7
19 14 23 28 43 8
37 18 26 31 8 23
1 2 29 37 38 32
15 43 29 14 12 28
5 32 40 10 29 43
42 26 9 41 5 32
21 48 46 19 6 27
49 25 40 7 26 22
14 28 3 35 5 32
9 49 46 37 22 18
26 25 12 3 24 11
46 1 22 27 7 14
45 19 8 25 34 10
48 23 35 24 5 42
36 27 46 35 33 34
41 2 6 46 19 35
14 22 21 25 41 26
19 10 6 41 31 16
27 31 17 16 10 14
33 8 29 12 4 5
30 8 33 15 4 45
26 20 7 41 17 24
39 49 44 38 27 40
5 48 16 21 35 12
40 33 24 17 42 11
7 32 19 42 20 17
4 29 27 45 42 26
21 1 35 48 34 28
5 13 4 38 15 12
21 29 10 4 30 15
2 37 39 26 11 6
33 35 20 23 6 32
6 17 8 11 20 5
48 22 24 9 29 39
44 25 19 40 18 23
42 40 47 5 29 34
40 5 11 20 28 41
33 8 12 36 7 25
27 26 38 21 29 36
21 32 24 49 16 3
4 32 18 45 3 17
18 42 24 31 45 25
45 48 26 28 29 1
4 9 37 8 7 42
21 29 9 30 8 42
8 36 45 13 15 44
36 48 45 37 12 9
29 21 43 32 30 14
28 35 33 45 46 14
33 4 22 35 48 11
12 41 48 32 33 23
31 47 46 44 26 7
27 11 41 48 42 24
8 32 39 48 3 35
40 33 30 22 19 47
8 17 28 41 46 39
38 34 17 33 47 44
49 27 23 44 48 42
48 44 25 33 41 46
23 16 44 31 8 49
42 28 45 19 48 35
48 35 13 38 7 6
7 46 48 22 13 35
25 7 42 13 20 18
23 33 22 30 42 25
29 10 14 22 19 49
17 38 4 16 15 5
27 14 48 7 45 30
39 44 47 8 32 9
47 6 3 36 28 15
44 33 45 48 25 38
13 6 27 18 25 22
6 16 10 23 7 17
11 40 16 2 23 29
12 8 7 45 28 25
49 14 39 7 18 32
16 46 18 15 33 9
20 15 47 19 32 16
48 15 39 14 19 38
24 10 43 34 35 27
38 5 45 10 36 31
37 24 23 4 40 35
24 31 47 20 48 11
32 48 33 49 6 29
31 26 45 2 38 35
43 21 4 27 34 42
31 7 21 26 2 12
13 26 41 34 45 36
39 4 49 6 15 26
4 27 15 7 38 34
11 7 1 24 26 8
28 38 23 45 4 41
24 13 33 15 20 34
28 40 23 14 43 13
25 47 31 8 30 48
2 21 45 9 46 12
3 42 20 36 21 19
36 30 39 31 25 48
10 43 20 29 41 48
28 14 15 12 37 9
2 49 46 22 3 33
21 13 30 18 40 17
6 41 20 37 38 23
13 17 20 43 34 12
35 32 44 29 13 48
45 48 28 19 18 25
21 38 35 4 8 11
41 10 35 26 49 22
30 31 37 36 1 46
41 34 13 42 28 15
24 37 35 12 44 19
38 46 42 13 27 39
9 37 30 32 15 28
16 12 35 9 7 4
38 36 11 47 28 15
10 43 16 6 41 13
2 28 48 37 11 5
3 20 19 41 26 14
24 28 18 17 11 7
6 42 27 15 22 7
27 42 32 21 47 18
32 37 31 34 3 22
23 6 18 7 31 12
48 17 2 18 29 31
39 33 44 41 30 2
18 8 23 27 40 13
43 7 11 48 28 8
26 49 6 4 19 41
22 40 49 20 41 39
23 34 31 22 13 20
25 3 6 9 14 34
40 34 25 31 35 30
25 46 20 17 16 11
25 1 12 17 30 20
24 28 22 47 9 15
41 24 36 32 15 13
20 48 13 11 10 9
11 9 42 49 4 22
23 42 33 43 16 10
26 38 37 35 22 19
15 45 38 43 10 36
34 10 21 6 35 3
38 36 9 19 26 13
30 41 32 21 37 26
38 29 7 14 39 24
42 29 3 22 48 41
12 14 37 46 31 21
35 15 40 45 4 2
26 10 3 18 43 37
16 11 18 41 19 42
22 31 42 13 25 36
48 11 22 5 18 7
3 34 35 7 22 4
30 27 26 19 17 4
15 13 12 46 4 33
30 39 29 28 42 13
30 29 14 25 2 23
29 8 35 7 2 18
26 32 17 9 46 45
13 24 45 35 2 38
14 26 17 15 22 47
24 42 26 39 29 9
35 30 37 28 1 40
46 22 20 27 23 29
6 40 44 7 3 39
25 41 43 22 42 44
5 10 47 3 8 14
29 19 32 46 10 47
43 22 31 19 48 46
34 33 4 43 29 38
9 26 25 30 7 40
35 19 22 45 14 16
9 6 18 17 27 22
26 43 46 24 27 15
21 38 7 44 5 8
6 10 7 25 13 36
38 47 10 41 35 46
5 14 32 11 49 12
46 27 17 29 48 22
28 17 23 33 14 16
27 32 37 46 2 29
17 26 7 2 45 18
44 41 3 10 48 5
18 41 2 1 16 25
45 25 9 6 10 20
49 17 2 48 34 7
29 37 33 36 38 24
9 33 46 48 18 39
46 2 41 39 17 18
5 24 28 44 47 19
5 2 21 4 42 19
30 35 1 42 26 11
40 33 18 9 44 45
32 3 15 8 19 14
39 29 37 30 38 48
29 38 48 43 42 7
7 9 18 43 8 36
30 11 2 25 16 45
48 39 43 14 32 19
26 18 39 24 47 3
47 4 33 48 34 3
5 24 3 38 8 43
28 43 25 45 10 40
40 28 41 2 39 37
7 30 38 45 44 23
16 44 45 1 25 46
29 37 36 42 26 9
31 4 45 12 19 36
13 5 8 31 12 24
44 27 25 14 37 22
41 9 14 34 46 7
18 25 40 15 46 21
